name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X3D18-TR 2M,M8,Quasi-flush,3 mm,2-wire,NO,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D18-TR 5M,M8,Quasi-flush,3 mm,2-wire,NO,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28 2M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28 5M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-M1TGJ 0.3M,M8,Quasi-flush,3 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-M1TGJ-T 0.3M,M8,Quasi-flush,3 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-R 2M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-R 5M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-T 2M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-T 5M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-TR 2M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
E2E-X3D28-TR 5M,M8,Quasi-flush,3 mm,2-wire,NC,Cable,"Brass, nickel plated",,37.8 mm,21 mm,IP67/IP67G/IP69K
