name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X4MB1T8-M1,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),43 mm,20 mm,IP67/IP69K
E2E-X4MB1T8-M1TJ 0.3M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MB1T8-M3,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X4MB1T8-M5,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X4MB1T8-R 2M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MB1TL8 2M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MB1TL8 5M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MB1TL8-M1,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),53 mm,30 mm,IP67/IP69K
E2E-X4MB1TL8-M1TJ 0.3M,M8,Non-flush,4 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MB1TL8-M3,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
E2E-X4MB1TL8-M5,M8,Non-flush,4 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
E2E-X4MB28 2M,M8,Non-flush,4 mm,PNP,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MB28 5M,M8,Non-flush,4 mm,PNP,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MB28-M1,M8,Non-flush,4 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,43 mm,20 mm,IP67/IP69K
E2E-X4MB28-M3,M8,Non-flush,4 mm,PNP,NC,Connector M8 - 4 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MB28-M5,M8,Non-flush,4 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MB2L8 2M,M8,Non-flush,4 mm,PNP,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MB2L8 5M,M8,Non-flush,4 mm,PNP,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MB2L8-M1,M8,Non-flush,4 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X4MB2L8-M3,M8,Non-flush,4 mm,PNP,NC,Connector M8 - 4 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X4MB2L8-M5,M8,Non-flush,4 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X4MB3DL8-M1,M8,Non-flush,4 mm,"IO-Link, PNP",NO + NC,Connector M12,Stainless steel,COM2 (38.4 kbps),53 mm,30 mm,IP67/IP69K
E2E-X4MC18 10M,M8,Non-flush,4 mm,NPN,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MC18 2M,M8,Non-flush,4 mm,NPN,NO,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MC18 5M,M8,Non-flush,4 mm,NPN,NO,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MC18-M1,M8,Non-flush,4 mm,NPN,NO,Connector M12,Stainless steel,Not Applicable,43 mm,20 mm,IP67/IP69K
E2E-X4MC18-M3,M8,Non-flush,4 mm,NPN,NO,Connector M8 - 4 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MC18-M5,M8,Non-flush,4 mm,NPN,NO,Connector M8 - 3 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MC1L8 2M,M8,Non-flush,4 mm,NPN,NO,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MC1L8 5M,M8,Non-flush,4 mm,NPN,NO,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MC1L8-M1,M8,Non-flush,4 mm,NPN,NO,Connector M12,Stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X4MC1L8-M5,M8,Non-flush,4 mm,NPN,NO,Connector M8 - 3 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X4MC28 2M,M8,Non-flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MC28 5M,M8,Non-flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X4MC28-M1,M8,Non-flush,4 mm,NPN,NC,Connector M12,Stainless steel,Not Applicable,43 mm,20 mm,IP67/IP69K
E2E-X4MC28-M3,M8,Non-flush,4 mm,NPN,NC,Connector M8 - 4 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MC28-M5,M8,Non-flush,4 mm,NPN,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X4MC2L8 2M,M8,Non-flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MC2L8 5M,M8,Non-flush,4 mm,NPN,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X4MC2L8-M1,M8,Non-flush,4 mm,NPN,NC,Connector M12,Stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X4MC2L8-M5,M8,Non-flush,4 mm,NPN,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X50MB1TL30 2M,M30,Non-flush,50 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),97.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X50MB1TL30-M1,M30,Non-flush,50 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),95 mm,65 mm,IP67/IP69K
E2E-X50MB1TL30-M1TJ 0.3M,M30,Non-flush,50 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),97.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X50MB1TL30-R 2M,M30,Non-flush,50 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),97.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X50MB2L30 2M,M30,Non-flush,50 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,97.3 mm,65 mm,IP67/IP67G/IP69K
E2E-X50MB2L30-M1,M30,Non-flush,50 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,95 mm,65 mm,IP67/IP69K
E2E-X50MC1L30 2M,M30,Non-flush,50 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X50MC1L30-M1,M30,Non-flush,50 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,95 mm,65 mm,IP67/IP69K
E2E-X50MC2L30 2M,M30,Non-flush,50 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X50MC2L30-M1,M30,Non-flush,50 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,95 mm,65 mm,IP67/IP69K
E2E-X5B1T18 2M,M18,Flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B1T18 5M,M18,Flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B1T18-M1,M18,Flush,5 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),53 mm,34 mm,IP67/IP69K
E2E-X5B1T18-M1TJ 0.3M,M18,Flush,5 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B1T18-R 2M,M18,Flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B1TL18 2M,M18,Flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5B1TL18 5M,M18,Flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5B1TL18-M1,M18,Flush,5 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),75 mm,60 mm,IP67/IP69K
E2E-X5B218 2M,M18,Flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B218 5M,M18,Flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B218-M1,M18,Flush,5 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X5B218-M1TJ 0.3M,M18,Flush,5 mm,PNP,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5B2L18 2M,M18,Flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5B2L18 5M,M18,Flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5B2L18-M1,M18,Flush,5 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X5B3D18-M1,M18,Flush,5 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),53 mm,34 mm,IP67/IP69K
E2E-X5B3DL18 2M,M18,Flush,5 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5C118 2M,M18,Flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5C118 5M,M18,Flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5C118-M1,M18,Flush,5 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X5C118-R 2M,M18,Flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5C1L18 2M,M18,Flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5C1L18 5M,M18,Flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5C1L18-M1,M18,Flush,5 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X5C218 2M,M18,Flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5C218 5M,M18,Flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X5C218-M1,M18,Flush,5 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X5C2L18 2M,M18,Flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X5C2L18-M1,M18,Flush,5 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X5C318-M1,M18,Flush,5 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X5D1-M1TGJ 0.3M,M18,Flush,5 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-M1TGJ-T 0.3M,M18,Flush,5 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-N 2M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-N 5M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-R-N 2M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-R-N 5M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-T-N 2M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-T-N 5M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-TR-N 2M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D1-TR-N 5M,M18,Flush,5 mm,2-wire,NO,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-M1TGJ 0.3M,M18,Flush,5 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-M1TGJ-T 0.3M,M18,Flush,5 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-N 2M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-N 5M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-R-N 2M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-R-N 5M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-T-N 2M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-T-N 5M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-TR-N 2M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5D2-TR-N 5M,M18,Flush,5 mm,2-wire,NC,Cable,"Brass, nickel plated",,54.3 mm,37 mm,IP67/IP67G/IP69K
E2E-X5MB1T12 2M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB1T12 5M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB1T12-M1,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,26 mm,IP67/IP69K
E2E-X5MB1T12-M1TJ 0.3M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB1T12-R 2M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB1TL12 2M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MB1TL12 5M,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MB1TL12-M1,M12,Non-flush,5 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,48 mm,IP67/IP69K
E2E-X5MB212 2M,M12,Non-flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB212 5M,M12,Non-flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MB212-M1,M12,Non-flush,5 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X5MB2L12 2M,M12,Non-flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MB2L12 5M,M12,Non-flush,5 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MB2L12-M1,M12,Non-flush,5 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X5MB3D12-M1,M12,Non-flush,5 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),48 mm,26 mm,IP67/IP69K
E2E-X5MC112 2M,M12,Non-flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MC112 5M,M12,Non-flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MC112-M1,M12,Non-flush,5 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,19 mm,IP67/IP69K
E2E-X5MC112-R 2M,M12,Non-flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MC1L12 2M,M12,Non-flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MC1L12 5M,M12,Non-flush,5 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MC1L12-M1,M12,Non-flush,5 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X5MC212 2M,M12,Non-flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MC212 5M,M12,Non-flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X5MC212-M1,M12,Non-flush,5 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X5MC2L12 2M,M12,Non-flush,5 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X5MC2L12-M1,M12,Non-flush,5 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X5MC312 2M,M12,Non-flush,5 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X6B1T12 2M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B1T12-M1,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,28 mm,IP67/IP69K
E2E-X6B1T12-M1TJ 0.3M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B1T12-M1TJR 0.3M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B1T12-R 2M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B1TL12 2M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,54 mm,IP67/IP67G/IP69K
E2E-X6B1TL12-M1,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,54 mm,IP67/IP69K
E2E-X6B1TL12-M1TJ 0.3M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,54 mm,IP67/IP67G/IP69K
E2E-X6B212 2M,M12,Quasi-flush,6 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B212-M1,M12,Quasi-flush,6 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,28 mm,IP67/IP69K
E2E-X6B212-M1TJ 0.3M,M12,Quasi-flush,6 mm,PNP,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B2L12 2M,M12,Quasi-flush,6 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,54 mm,IP67/IP67G/IP69K
E2E-X6B2L12-M1,M12,Quasi-flush,6 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,54 mm,IP67/IP69K
E2E-X6B3D12 2M,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6B3D12-M1,M12,Quasi-flush,6 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),48 mm,28 mm,IP67/IP69K
E2E-X6C112 2M,M12,Quasi-flush,6 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6C112-M1,M12,Quasi-flush,6 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,28 mm,IP67/IP69K
E2E-X6C212 2M,M12,Quasi-flush,6 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X6C212-M1,M12,Quasi-flush,6 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,28 mm,IP67/IP69K
E2E-X6MB1T8 2M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MB1T8 5M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MB1T8-M1,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),43 mm,20 mm,IP67/IP69K
E2E-X6MB1T8-M1TJ 0.3M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MB1T8-M3,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X6MB1T8-M5,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X6MB1T8-R 2M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MB1TL8 2M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X6MB1TL8 5M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X6MB1TL8-M1,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),53 mm,30 mm,IP67/IP69K
E2E-X6MB1TL8-M1TJ 0.3M,M8,Non-flush,6 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X6MB1TL8-M3,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
